Text,Language
Wilderness areas can be found in preserves estates farms conservation preserves ranches national forests national parks and even in urban areas along rivers gulches or otherwise undeveloped areas,en
Wilderness areas and protected parks are considered important for the survival of certain species ecological studies conservation and solitude,en
Some nature writers believe wilderness areas are vital for the human spirit and creativity and some ecologists consider wilderness areas to be an integral part of the Earth's selfsustaining natural ecosystem (the biosphere),en
They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos arboretums or laboratories,en
Although there is no universal agreement on the definition of life scientists generally accept that the biological manifestation of life is characterized by organization metabolism growth adaptation response to stimuli and reproduction,en
 Life may also be said to be simply the characteristic state of organisms,en
Properties common to terrestrial organisms (plants animals fungi protists archaea and bacteria) are that they are cellular carbonandwaterbased with complex organization having a metabolism a capacity to grow respond to stimuli and reproduce,en
An entity with these properties is generally considered life,en
However not every definition of life considers all of these properties to be essential,en
Humanmade analogs of life may also be considered to be life,en
The biosphere is the part of Earth's outer shell—including land surface rocks water air and the atmosphere—within which life occurs and which biotic processes in turn alter or transform,en
From the broadest geophysiological point of view the biosphere is the global ecological system integrating all living beings and their relationships including their interaction with the elements of the lithosphere (rocks) hydrosphere (water) and atmosphere (air),en
The entire Earth contains over  billion tons ( trillion pounds or about × kilograms) of biomass (life) which lives within various environments within the biosphere,en
 Over ninetenths of the total biomass on Earth is plant life on which animal life depends very heavily for its existence,en
 More than  million species of plant and animal life have been identified to date and estimates of the actual number of existing species range from several million to well over  million,en
 The number of individual species of life is constantly in some degree of flux with new species appearing and others ceasing to exist on a continual basis,en
 The total number of species is in rapid decline,en
 The origin of life on Earth is not well understood but it is known to have occurred at least  billion years ago during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present,en
 These life forms possessed the basic traits of selfreplication and inheritable traits,en
Once life had appeared the process of evolution by natural selection resulted in the development of evermore diverse life forms,en
Species that were unable to adapt to the changing environment and competition from other life forms became extinct,en
However the fossil record retains evidence of many of these older species,en
Current fossil and DNA evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms,en
 When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms,en
 The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer,en
The incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes,en
 Cells within colonies became increasingly specialized resulting in true multicellular organisms,en
With the ozone layer absorbing harmful ultraviolet radiation life colonized the surface of Earth,en
The first form of life to develop on the Earth were microbes and they remained the only form of life until about a billion years ago when multicellular organisms began to appear,en
 Microorganisms are singlecelled organisms that are generally microscopic and smaller than the human eye can see,en
They include Bacteria Fungi Archaea and Protista,en
These life forms are found in almost every location on the Earth where there is liquid water including in the Earth's interior,en
"
Their reproduction is both rapid and profuse",en
The combination of a high mutation rate and a horizontal gene transfer ability makes them highly adaptable and able to survive in new environments including outer space,en
 They form an essential part of the planetary ecosystem,en
However some microorganisms are pathogenic and can post health risk to other organisms,en
Originally Aristotle divided all living things between plants which generally do not move fast enough for humans to notice and animals,en
In Linnaeus' system these became the kingdoms Vegetabilia (later Plantae) and Animalia,en
Since then it has become clear that the Plantae as originally defined included several unrelated groups and the fungi and several groups of algae were removed to new kingdoms,en
However these are still often considered plants in many contexts,en
Bacterial life is sometimes included in flora and some classifications use the term bacterial flora separately from plant flora,en
Among the many ways of classifying plants are by regional floras which depending on the purpose of study can also include fossil flora remnants of plant life from a previous era,en
People in many regions and countries take great pride in their individual arrays of characteristic flora which can vary widely across the globe due to differences in climate and terrain,en
Regional floras commonly are divided into categories such as native flora and agricultural and garden flora the lastly mentioned of which are intentionally grown and cultivated,en
Some types of native flora actually have been introduced centuries ago by people migrating from one region or continent to another and become an integral part of the native or natural flora of the place to which they were introduced,en
This is an example of how human interaction with nature can blur the boundary of what is considered nature,en
Another category of plant has historically been carved out for weeds,en
Though the term has fallen into disfavor among botanists as a formal way to categorize useless plants the informal use of the word weeds to describe those plants that are deemed worthy of elimination is illustrative of the general tendency of people and societies to seek to alter or shape the course of nature,en
Similarly animals are often categorized in ways such as domestic farm animals wild animals pests etc,en
according to their relationship to human life,en
Animals as a category have several characteristics that generally set them apart from other living things,en
Animals are eukaryotic and usually multicellular (although see Myxozoa) which separates them from bacteria archaea and most protists,en
They are heterotrophic generally digesting food in an internal chamber which separates them from plants and algae,en
They are also distinguished from plants algae and fungi by lacking cell walls,en
With a few exceptions—most notably the two phyla consisting of sponges and placozoans—animals have bodies that are differentiated into tissues,en
These include muscles which are able to contract and control locomotion and a nervous system which sends and processes signals,en
There is also typically an internal digestive chamber,en
The eukaryotic cells possessed by all animals are surrounded by a characteristic extracellular matrix composed of collagen and elastic glycoproteins,en
This may be calcified to form structures like shells bones and spicules a framework upon which cells can move about and be reorganized during development and maturation and which supports the complex anatomy required for mobility,en
Although humans comprise only a minuscule proportion of the total living biomass on Earth the human effect on nature is disproportionately large,en
Because of the extent of human influence the boundaries between what humans regard as nature and made environments is not clear cut except at the extremes,en
Even at the extremes the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace,en
The development of technology by the human race has allowed the greater exploitation of natural resources and has helped to alleviate some of the risk from natural hazards,en
In spite of this progress however the fate of human civilization remains closely linked to changes in the environment,en
There exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood,en
 Manmade threats to the Earth's natural environment include pollution deforestation and disasters such as oil spills,en
Humans have contributed to the extinction of many plants and animals,en
Humans employ nature for both leisure and economic activities,en
The acquisition of natural resources for industrial use remains a sizable component of the world's economic system,en
 Some activities such as hunting and fishing are used for both sustenance and leisure often by different people,en
Agriculture was first adopted around the th millennium BCE,en
Ranging from food production to energy nature influences economic wealth,en
Although early humans gathered uncultivated plant materials for food and employed the medicinal properties of vegetation for healing most modern human use of plants is through agriculture,en
The clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands resulting in the loss of habitat for many plant and animal species as well as increased erosion,en
 Beauty in nature has historically been a prevalent theme in art and books filling large sections of libraries and bookstores,en
That nature has been depicted and celebrated by so much art photography poetry and other literature shows the strength with which many people associate nature and beauty,en
Reasons why this association exists and what the association consists of are studied by the branch of philosophy called aesthetics,en
Beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful the opinions are virtually endless,en
 Nature and wildness have been important subjects in various eras of world history,en
An early tradition of landscape art began in China during the Tang Dynasty (–),en
The tradition of representing nature as it is became one of the aims of Chinese painting and was a significant influence in Asian art,en
Although natural wonders are celebrated in the Psalms and the Book of Job wilderness portrayals in art became more prevalent in the s especially in the works of the Romantic movement,en
British artists John Constable and J M W Turner turned their attention to capturing the beauty of the natural world in their paintings,en
Before that paintings had been primarily of religious scenes or of human beings,en
William Wordsworth's poetry described the wonder of the natural world which had formerly been viewed as a threatening place,en
Increasingly the valuing of nature became an aspect of Western culture,en
 This artistic movement also coincided with the Transcendentalist movement in the Western world,en
A common classical idea of beautiful art involves the word mimesis the imitation of nature,en
Also in the realm of ideas about beauty in nature is that the perfect is implied through perfect mathematical forms and more generally by patterns in nature,en
As David Rothenburg writes The beautiful is the root of science and the goal of art the highest possibility that humanity can ever hope to see,en
 Some fields of science see nature as matter in motion obeying certain laws of nature which science seeks to understand,en
For this reason the most fundamental science is generally understood to be physics—the name for which is still recognizable as meaning that it is the study of nature,en
Matter is commonly defined as the substance of which physical objects are composed,en
It constitutes the observable universe,en
The visible components of the universe are now believed to compose only  percent of the total mass,en
The remainder is believed to consist of  percent cold dark matter and  percent dark energy,en
 The exact arrangement of these components is still unknown and is under intensive investigation by physicists,en
The behaviour of matter and energy throughout the observable universe appears to follow welldefined physical laws,en
These laws have been employed to produce cosmological models that successfully explain the structure and the evolution of the universe we can observe,en
The mathematical expressions of the laws of physics employ a set of twenty physical constants that appear to be static across the observable universe,en
 The values of these constants have been carefully measured but the reason for their specific values remains a mystery,en
Outer space also simply called space refers to the relatively empty regions of the Universe outside the atmospheres of celestial bodies,en
Outer space is used to distinguish it from airspace (and terrestrial locations),en
There is no discrete boundary between Earth's atmosphere and space as the atmosphere gradually attenuates with increasing altitude,en
Outer space within the Solar System is called interplanetary space which passes over into interstellar space at what is known as the heliopause,en
Outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy blackbody radiation left over from the Big Bang and the origin of the universe and cosmic rays which include ionized atomic nuclei and various subatomic particles,en
There is also some gas plasma and dust and small meteors,en
Additionally there are signs of human life in outer space today such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft,en
Some of this debris reenters the atmosphere periodically,en
Although Earth is the only body within the solar system known to support life evidence suggests that in the distant past the planet Mars possessed bodies of liquid water on the surface,en
 For a brief period in Mars' history it may have also been capable of forming life,en
At present though most of the water remaining on Mars is frozen,en
If life exists at all on Mars it is most likely to be located underground where liquid water can still exist,en
 Conditions on the other terrestrial planets Mercury and Venus appear to be too harsh to support life as we know it,en
But it has been conjectured that Europa the fourthlargest moon of Jupiter may possess a subsurface ocean of liquid water and could potentially host life,en
 Astronomers have started to discover extrasolar Earth analogs – planets that lie in the habitable zone of space surrounding a star and therefore could possibly host life as we know it,en
 Media Organizations Philosophy   Wikipedia (ˌwɪkɪˈpiːdiə (listen) wikihPEEdeeə or ˌwɪki (listen) wikee) is a multilingual opencollaborative online encyclopedia created and maintained by a community of volunteer editors using a wikibased editing system,en
It is one of the  most popular websites as ranked by Alexa as of January update and The Economist newspaper placed it as the thmostvisited place on the web,en
 Featuring no advertisements it is hosted by the Wikimedia Foundation an American nonprofit organization funded primarily through donations,en
Wikipedia was launched on January   by Jimmy Wales and Larry Sanger,en
Sanger coined its name as a portmanteau of wiki and encyclopedia,en
It was initially an Englishlanguage encyclopedia but versions in other languages were quickly developed,en
With  million articles the English Wikipedia is the largest of the  Wikipedia encyclopedias,en
Overall Wikipedia comprises more than  million articles attracting  billion unique visitors per month,en
 Wikipedia has been criticized for its uneven accuracy and for exhibiting systemic bias including gender bias with the majority of editors being male,en
 Editathons have been held to encourage female editors and increase the coverage of women's topics,en
 In  Time magazine stated that the opendoor policy of allowing anyone to edit had made Wikipedia the biggest and possibly the best encyclopedia in the world and was a testament to the vision of Jimmy Wales,en
 The project's reputation improved further in the s as it increased efforts to improve its quality and reliability based on its unique structure curation and absence of commercial bias,en
 In  Facebook and YouTube announced that they would help users detect fake news by suggesting links to related Wikipedia articles,en
 Other collaborative online encyclopedias were attempted before Wikipedia but none were as successful,en
 Wikipedia began as a complementary project for Nupedia a free online Englishlanguage encyclopedia project whose articles were written by experts and reviewed under a formal process,en
 It was founded on March   under the ownership of Bomis a web portal company,en
Its main figures were Bomis CEO Jimmy Wales and Larry Sanger editorinchief for Nupedia and later Wikipedia,en
 Nupedia was initially licensed under its own Nupedia Open Content License but even before Wikipedia was founded Nupedia switched to the GNU Free Documentation License at the urging of Richard Stallman,en
 Wales is credited with defining the goal of making a publicly editable encyclopedia while Sanger is credited with the strategy of using a wiki to reach that goal,en
 On January   Sanger proposed on the Nupedia mailing list to create a wiki as a feeder project for Nupedia,en
 The domains wikipediacom and wikipediaorg were registered on January   and January   respectively and Wikipedia was launched on January   as a single Englishlanguage edition at wwwwikipediacom and announced by Sanger on the Nupedia mailing list,en
 Wikipedia's policy of neutral pointofview was codified in its first few months,en
Otherwise there were relatively few rules initially and Wikipedia operated independently of Nupedia,en
 Originally Bomis intended to make Wikipedia a business for profit,en
 Wikipedia gained early contributors from Nupedia Slashdot postings and web search engine indexing,en
Language editions were also created with a total of  by the end of ,en
 Nupedia and Wikipedia coexisted until the former's servers were taken down permanently in  and its text was incorporated into Wikipedia,en
The English Wikipedia passed the mark of two million articles on September   making it the largest encyclopedia ever assembled surpassing the Yongle Encyclopedia made during the Ming Dynasty in  which had held the record for almost  years,en
 Citing fears of commercial advertising and lack of control in Wikipedia users of the Spanish Wikipedia forked from Wikipedia to create the Enciclopedia Libre in February ,en
 Wales then announced that Wikipedia would not display advertisements and changed Wikipedia's domain from wikipediacom to wikipediaorg,en
 Though the English Wikipedia reached three million articles in August  the growth of the edition in terms of the numbers of new articles and of contributors appears to have peaked around early ,en
 Around  articles were added daily to the encyclopedia in  by  that average was roughly ,en
 A team at the Palo Alto Research Center attributed this slowing of growth to the project's increasing exclusivity and resistance to change,en
 Others suggest that the growth is flattening naturally because articles that could be called lowhanging fruit—topics that clearly merit an article—have already been created and built up extensively,en
  In November  a researcher at the Rey Juan Carlos University in Madrid found that the English Wikipedia had lost  editors during the first three months of  in comparison the project lost only  editors during the same period in ,en
 The Wall Street Journal cited the array of rules applied to editing and disputes related to such content among the reasons for this trend,en
 Wales disputed these claims in  denying the decline and questioning the methodology of the study,en
 Two years later in  Wales acknowledged the presence of a slight decline noting a decrease from a little more than  writers in June  to  in June ,en
In the same interview Wales also claimed the number of editors was stable and sustainable,en
 A  article titled The Decline of Wikipedia in MIT Technology Review questioned this claim,en
The article revealed that since  Wikipedia had lost a third of its volunteer editors and those still there have focused increasingly on minutiae,en
 In July  The Atlantic reported that the number of administrators is also in decline,en
 In the November   issue of New York magazine Katherine Ward stated Wikipedia the sixthmostused website is facing an internal crisis,en
 In January  Wikipedia entered for the first time the topten list of the most popular websites in the US according to comscore Networks,en
With  million unique visitors Wikipedia was ranked number  surpassing The New York Times () and Apple (),en
This marked a significant increase over January  when the rank was number  with Wikipedia receiving around  million unique visitors,en
 As of March update Wikipedia has rank  among websites in terms of popularity according to Alexa Internet,en
In  it received eight billion page views every month,en
 On February   The New York Times reported that Wikipedia has  billion page views and nearly  million unique visitors a month according to the ratings firm comScore,en
 Loveland and Reagle argue that in process Wikipedia follows a long tradition of historical encyclopedias that accumulated improvements piecemeal through stigmergic accumulation,en
  On January   the English Wikipedia participated in a series of coordinated protests against two proposed laws in the United States Congress—the Stop Online Piracy Act (SOPA) and the PROTECT IP Act (PIPA)—by blacking out its pages for  hours,en
 More than  million people viewed the blackout explanation page that temporarily replaced Wikipedia content,en
 On January   Subodh Varma reporting for The Economic Times indicated that not only had Wikipedia's growth stalled it had lost nearly ten percent of its page views last year,en
There was a decline of about two billion between December  and December ,en
Its most popular versions are leading the slide pageviews of the English Wikipedia declined by twelve percent those of German version slid by  percent and the Japanese version lost nine percent,en
 Varma added that While Wikipedia's managers think that this could be due to errors in counting other experts feel that Google's Knowledge Graphs project launched last year may be gobbling up Wikipedia users,en
 When contacted on this matter Clay Shirky associate professor at New York University and fellow at Harvard's Berkman Klein Center for Internet  Society indicated that he suspected much of the page view decline was due to Knowledge Graphs stating If you can get your question answered from the search page you don't need to click any further,en
 By the end of December  Wikipedia was ranked fifth in the most popular websites globally,en
 In January   Wikipedia an asteroid was named after Wikipedia in October  Wikipedia was honored with the Wikipedia Monument and in July   of the  page volumes of Wikipedia became available as Print Wikipedia,en
In April  an Israeli lunar lander Beresheet crash landed on the surface of the Moon carrying a copy of nearly all of the English Wikipedia engraved on thin nickel plates experts say the plates likely survived the crash,en
 In June  scientists reported that all  GB of article text from the English Wikipedia have been encoded into synthetic DNA,en
 Unlike traditional encyclopedias Wikipedia follows the procrastination principlenote  regarding the security of its content,en
 It started almost entirely open—anyone could create articles and any Wikipedia article could be edited by any reader even those who did not have a Wikipedia account,en
Modifications to all articles would be published immediately,en
As a result any article could contain inaccuracies such as errors ideological biases and nonsensical or irrelevant text,en
Due to the increasing popularity of Wikipedia some editions including the English version have introduced editing restrictions for certain cases,en
For instance on the English Wikipedia and some other language editions only registered users may create a new article,en
 On the English Wikipedia among others particularly controversial sensitive or vandalismprone pages have been protected to varying degrees,en
 A frequently vandalized article can be semiprotected or extended confirmed protected meaning that only autoconfirmed or extended confirmed editors are able to modify it,en
 A particularly contentious article may be locked so that only administrators are able to make changes,en
 A  article in the Columbia Journalism Review identified Wikipedia's page protection policies as perhaps the most important means at Wikipedia's disposal to regulate its market of ideas,en
 In certain cases all editors are allowed to submit modifications but review is required for some editors depending on certain conditions,en
For example the German Wikipedia maintains stable versions of articles which have passed certain reviews,en
Following protracted trials and community discussion the English Wikipedia introduced the pending changes system in December ,en
 Under this system new and unregistered users' edits to certain controversial or vandalismprone articles are reviewed by established users before they are published,en
